DOC_NO,PLANT,STAGE,OEM,VEH,PJT,OCC_DATE,REG_DATE,RETURN_YN,RTN_DATE,CTM_DATE,HK_FAULT_YN,COMP_DATE,STATUS,LOCATION,MARKET,M_CODE,TYPE_NAME,CAT_NAME,SUB_CAT_NAME,D2_PROBLEM,D0_EMERGENCY,D4_SMMY,D8_RESULT,D4_ROOT_CAUSE,D5_COUNTERMEASURE,URL
QI-2025-00094,MP,Mass Production,VW,Terramar,SE336,2025-06-19,2025-06-19,N,null,2025-07-02,Y,2025-07-04,Complete,Non-official(In-line),Europe,1032200,Manufacturing,Defect,"Dirty Mold
 (DM)","Received complaint from AUDI concerning a wheel assembled as identified coation error, internally DM, LS nonconformity. Related BC : 2778105662","Sorting activity, check production and quality history.",This size is sensitive for LS.  LS Rework is 10 898ppm. ,Training is accomplished. For prevention following improvements defined S/W gauge up and AVH adding to mold.,SW Volume not enough,Increase the SW Volume by Tech,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=1978731d171799cee20032f9a8395642
QI-2025-00094,MP,Mass Production,VW,Terramar,SE336,2025-06-19,2025-06-19,N,null,2025-07-02,Y,2025-07-04,Complete,Non-official(In-line),Europe,1032200,Manufacturing,Defect,"Dirty Mold
 (DM)","Received complaint from AUDI concerning a wheel assembled as identified coation error, internally DM, LS nonconformity. Related BC : 2778105662","Sorting activity, check production and quality history.",This size is sensitive for LS.  LS Rework is 10 898ppm. ,Training is accomplished. For prevention following improvements defined S/W gauge up and AVH adding to mold.,Operator didn't catch the Issue during the inspection,Education about Issue and consequence,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=1978731d171799cee20032f9a8395642
QI-2025-00094,MP,Mass Production,VW,Terramar,SE336,2025-06-19,2025-06-19,N,null,2025-07-02,Y,2025-07-04,Complete,Non-official(In-line),Europe,1032200,Manufacturing,Defect,"Dirty Mold
 (DM)","Received complaint from AUDI concerning a wheel assembled as identified coation error, internally DM, LS nonconformity. Related BC : 2778105662","Sorting activity, check production and quality history.",This size is sensitive for LS.  LS Rework is 10 898ppm. ,Training is accomplished. For prevention following improvements defined S/W gauge up and AVH adding to mold.,Vacuum capacity is not enough,During the summer Factory stop increase the +2 line Capa,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=1978731d171799cee20032f9a8395642
QI-2025-00092,IP,Mass Production,Renault-Nissan,Logan / Sandero,BJI,2025-06-13,2025-06-18,Y,2025-06-18,2025-07-01,Y,2025-07-03,Complete,In-Line(OE),Africa,1025238,Manufacturing,Defect,FM,"Nut cure inside the tire, appear on sidewall area. Defect : FMI (Foreign Material Iron).","- Sorting in Renault warehouse, and their car process.
- Hankook Indonesia re-inspect stock with same lot production.
- Waiting ship back tire from Renault -> IP, expect received:  27 Jun.
- QC will detail analysis after receiving actual tire.",FMI cause by nut drop in the floor and attach in S/W GT,"1) 1 EA abnormality on curing caused of NUT of G/T loader drop and attached the foreign material (NUT).
2) Overall tire stock with same lot production already re-inspected (remain 52 EA in W/H) and not found any defect.
     On Renault warehouse total 7,200 re-inspected by 3rd party.
3) To prevent this issue, in Curing process must control also periodic patrol for foreign material.",Nut drop in the floor attach in GT when GT fall from loader,Patrol daily every shift end for FM in Curing MC area,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=197811d5ebcd1f706c396f6eab43737e
QI-2025-00092,IP,Mass Production,Renault-Nissan,Logan / Sandero,BJI,2025-06-13,2025-06-18,Y,2025-06-18,2025-07-01,Y,2025-07-03,Complete,In-Line(OE),Africa,1025238,Manufacturing,Defect,FM,"Nut cure inside the tire, appear on sidewall area. Defect : FMI (Foreign Material Iron).","- Sorting in Renault warehouse, and their car process.
- Hankook Indonesia re-inspect stock with same lot production.
- Waiting ship back tire from Renault -> IP, expect received:  27 Jun.
- QC will detail analysis after receiving actual tire.",FMI cause by nut drop in the floor and attach in S/W GT,"1) 1 EA abnormality on curing caused of NUT of G/T loader drop and attached the foreign material (NUT).
2) Overall tire stock with same lot production already re-inspected (remain 52 EA in W/H) and not found any defect.
     On Renault warehouse total 7,200 re-inspected by 3rd party.
3) To prevent this issue, in Curing process must control also periodic patrol for foreign material.",Check MC Building no suspect found,'-,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=197811d5ebcd1f706c396f6eab43737e
QI-2025-00092,IP,Mass Production,Renault-Nissan,Logan / Sandero,BJI,2025-06-13,2025-06-18,Y,2025-06-18,2025-07-01,Y,2025-07-03,Complete,In-Line(OE),Africa,1025238,Manufacturing,Defect,FM,"Nut cure inside the tire, appear on sidewall area. Defect : FMI (Foreign Material Iron).","- Sorting in Renault warehouse, and their car process.
- Hankook Indonesia re-inspect stock with same lot production.
- Waiting ship back tire from Renault -> IP, expect received:  27 Jun.
- QC will detail analysis after receiving actual tire.",FMI cause by nut drop in the floor and attach in S/W GT,"1) 1 EA abnormality on curing caused of NUT of G/T loader drop and attached the foreign material (NUT).
2) Overall tire stock with same lot production already re-inspected (remain 52 EA in W/H) and not found any defect.
     On Renault warehouse total 7,200 re-inspected by 3rd party.
3) To prevent this issue, in Curing process must control also periodic patrol for foreign material.",Miss inspection by OP,Refreshment training in QA &amp; POP up in NMP for FMI issue,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=197811d5ebcd1f706c396f6eab43737e
QI-2025-00091,MP,Mass Production,Ford,Transit,V363MCA,2025-06-16,2025-06-16,N,null,2025-07-01,Y,2025-07-01,Complete,In-Line(OE),Europe,2020605,In-Line,Marking,Reverse Marking,UF marking red dot on the wrong side attached. 179 EA tire claimed by FORD Otosan Turkey.,"Review the history ( after got the delivery information, barcode ), stock and review the marking of UF red dot.","There were system restore on the machine. We haven't uploaded the latest database to the machine. Previously, a faulty database was installed on the machine. Between the two periods, the tires may have the wrong marking.",Restoring database followed.,There were system restore on the machine. We haven't uploaded the latest database to the machine.,We prepared the a feedback group and check sheet for the system restore. FTT have to feedback about the restore immediately.,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19777d3e378b272a5625c5e655ac7b89
QI-2025-00090,KP,Mass Production,Renault-Nissan,X-Trail,P33A,2025-05-30,2025-06-16,N,null,2025-07-09,Y,2025-07-09,Complete,Internal,ASIA(Japan),1027452,Manufacturing,Defect,Flash,"1) 이슈사항 : 몰드 접합 불량에 따른 타이어 Inside방향 MK부적합 발생
2) 규격 : 235/55R19V K127A (Nissan X-trail)
3) OE정보 : 일본 Nissan 후쿠오카 plant로 타이어 공급
4) Suspect range : 360개
     - 일본 후쿠오카 RDC로 12개 컨테이너에 나누어 이동 배송 中
     - 현재까지 OE 공급되지 않았으며, 6/9기준 4개 컨테이너 RDC 도착","1) 6/9 : KP품질관리 & QA팀 품질본부 최초보고, 일본 OE Office와 긴급 미팅 진행
2) 6/10 : 일본 OE Office 엔지니어 2명 긴급 후쿠오카 RDC방문, 전수검사 진행
     - 4개 컨테이너 2,112개중 23M67몰드 261개 소팅 / cut 부적합 23M68몰드 265개 선별
     - 창고 관리업체 주관, 향후 입고되는 컨테이너 물량에 대한 전수 검사 및 소팅 하도록 교육 및 협조요청
3) 6/16 : 6개 컨테이너 누적 총 3,168개중 23M67몰드 374개 소팅 / cut 부적합 23M68몰드 400개 선별
4) 부적합 분석
     - 가류간 몰드 접합이상으로 금속 식출 생성, 금속 식출 생성부위에서 MK부적합 발생(간헐적)
     - 내구검증결과 문제 없으나, 외관 부적합에 따라 OE에서 이슈제기 가능성 높아 창고 소팅 전수 진행
5) 최종확인
     - 최종 선별품 : 1,138개 (23M67 : 668ea / 23M68 : 470ea)
     - 최종 선별품은 일본 OE창고에서 군마창고로 이동, RE판매 전환 예정
     - 일본법인 주관으로 최종 재선별 진행예정이며, Scrap, 선별 및 운송 발생 비용은 G.OE품질팀에서 처리","원인 공정 : 가류
Root-cause : 가류 체부력이 140Ton으로 가압인 상태로 가류 진행 (115±15)","- Mold 체부력 과다에 따른 발생
- 변형부위는 사포로 grinding 조치 완료, 향후 가류초회시 체부력 상태 확인후 기록 진행
- 일본으로 운송 / 식별된 타이어는 RE판매로 전환 조치하되, 일본법인에서 최종 검수하여 scrap 판정예정",가류 체부력이 140Ton으로 가압인 상태로 가류 진행 (115±15),"몰드 Side부 사포로 제거, 가류기 체부력 140Ton→115Ton 조정 (6/2일完) / 가류초회시 체부력 확인후 항목 추가 및 기록관리",https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=197778e73e60157d28fce64684886788
QI-2025-00087,JP,Mass Production,SERES,M5,null,2025-06-12,2025-06-12,Y,2025-06-12,2025-06-16,N,2025-06-16,Complete,Non-official(In-line),ASIA(China),1033638,Manufacturing,Defect,Dent,"赛力斯SQE 对 长距离测试下来的轮胎发现有凹陷,要求返回分析Celis SQE found indentations in tires tested over long distances and requested a return for analysis.",返回分析Return to analysis,"返回 气压 2.0/2.6/2.8 充气检测,表面无明显 凹痕,, 项目为STUH结构,解剖分析,其中1本 边部接头量 有8根帘线,但 3D bps 检测结果 OK
Return to the air pressure 2.0/2.6/2.8 inflation test, which showed no obvious dents on the surface. The item is STUH structure and anatomical analysis, with 1 book featuring 8 edge joints, but the 3D bps test result is okay.","项目为STUH结构 ,结构凹陷不利设计, 返回 气压 2.0/2.6/2.8 充气检测,表面无明显 凹痕,,解剖分析,其中1本 边部接头量 有8根帘线,但 3D bps 检测结果 OK.
The project features a STUH structure with unfavorable design and returns air pressure 2.0/2.6/2.8 for inflation detection, no obvious indentations on the surface. Anatomical analysis shows that one book has 8 edge joints, but the 3D bps test results are okay.","STUH size,反包部分CC接头 8根帘线",STUH  (1 PLY) 凹陷 RISK,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=197617c4724f20dfafe4a4f1bfc1c7ee
QI-2025-00089,MP,Mass Production,Audi,Q3,AU326,2025-06-12,2025-06-12,N,null,2025-06-16,Y,2025-06-17,Complete,Non-official(In-line),Europe,1025879,Manufacturing,Defect,FM,To Gundlach Győr shipped out some of tires with visual nonconformity similar to bladder coating.,"Summarize quality and production history, traceback barcode information.",The visual inspector and the shipping inspector did not indicate the NCF tires.,Coating material has contaminated the tire surface visual inspectors did not detected. Training  activity implemented for avoid this issue.,The inspectors did not inspect the tires properly.,We prepared education material all visual and shipping inspectors. We cut sample from the tires and we can use it as education material.,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19764678cbe528a086ccf74115b8780c
QI-2025-00088,JP,Mass Production,BYD,Song L,UFEB / UFEC,2025-06-09,2025-06-12,Y,2025-06-12,2025-06-16,N,2025-06-16,Complete,Filed,ASIA(China),1034382,Manufacturing,Foam,Detach,"BYD河南巩义售后市场15000km后高速抖动,校平衡时发现 静音棉脱落,SQE要求返回分析BYD Henan Gongyi Aftermarket experienced high-speed jitter after 15,000 km, and during balance adjustment, it was found that the silent cotton had fallen off. SQE requested a return for analysis.",返回协助分析 requested a return for analysis.,"局部撞击集中,导致静音棉先行脱离,继续使用时,扩大脱离直至完全分离. 使用因Local impact concentration leads to the silent cotton detaching first. When used continuously, the detachment expands until it is completely separated.Reason for use
备注: 24年4月, 同样使用因导致静音棉脱落,但BYD不接收解释,导致扣分  Note: In April 24, the same usage caused the silent cotton to fall off, but BYD did not accept the explanation, resulting in deductions.","局部撞击集中,导致静音棉先行脱离,继续使用时,扩大脱离直至完全分离. 使用因Local impact concentration leads to the silent cotton detaching first. When used continuously, the detachment expands until it is completely separated.Reason for use
备注: 24年4月, 同样使用因导致静音棉脱落,但BYD不接收解释,导致扣分  Note: In April 24, the same usage caused the silent cotton to fall off, but BYD did not accept the explanation, resulting in deductions.",.,.,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19761a5d096a741627d91f4af1ef7698
QI-2025-00085,TP,Mass Production,Tesla,Model Y,OPAL,2025-06-10,2025-06-11,N,null,2025-06-11,Y,2025-06-14,Complete,In-Line(OE),North America,1035068,In-Line,Fail to vision,DOT,DOT marking on these tires is not clearly engraved,Checking the manufacturing history and holding system,"DOT upside down occured but  registered it as ""rework"". not registered it as ""NCF"" all","DOT upside down occured but  registered it as ""rework"". not registered it as ""NCF"" all -> Education/Training our visual inspectors
","DOT upside down occured but  registered it as ""rework"". not registered it as ""NCF"" all",Training and education visual operators (DOT UPSIDE DOWN AS A NCF,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=1975bfbbd95346264c46847d23e83fe1
QI-2025-00084,TP,Mass Production,Tesla,Model Y,OPAL,2025-06-09,2025-06-10,N,null,2025-06-11,Y,2025-06-12,Complete,In-Line(OE),North America,1035068,In-Line,Marking,"UMM
(Uniformity Miss marking)",The Uriman Maintenance team brought up the issue that instances of irregular and faded red dot,Checking the Uniformity marking status and inhance the shipping inspection,It is expected that the red dot will be erased while loading before the red dot that was reworked before dries.,"t is expected that the red dot will be erased while loading before the red dot that was reworked before dries.
-> Accepted our propose : shared Clean point and remarking pens sent",ed dot will be erased while loading before the red dot that was reworked before dries.,Need to wait for 10 mins after remarking at the shipp area,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=19756bd59a7db2cd1092f37bd2aa0247
QI-2025-00082,MP,Mass Production,Renault-Nissan,Juke,PZ1D,2025-05-30,2025-05-30,N,null,2025-06-04,Y,2025-06-05,Complete,In-Line(OE),Europe,1034452,In-Line,Marking,Reverse Marking,2 EA tire claimed by Nissan the  Uniformity Marking on the wrong side.,Review the production and inspection history,"There was a code change error, the marking was set based on the previous tire code. Shipping inspector did not find the PE tires.",UF machine improve implemented due to code change risk.,"There was a code change error, the marking was set based on the previous tire code.",The machine stops when the code changes. M/C op have to check the marking after the home position.,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=1972126faeed135a285cbffbd4c52051
QI-2025-00083,MP,Mass Production,Tesla,Model Y,MODEL Y MP TRANSFER,2025-05-30,2025-05-30,N,null,2025-06-04,Y,2025-06-05,Complete,Non-official(In-line),Europe,1028263,In-Line,Marking,"UMM
(Uniformity Miss marking)",Claimed tire with white dot instead of red uniformity marking.,"Review the history of inspection.
1)     Stopped the tesla line and check whether that size is marked correctly or not. (QA Macine Inspection : 50/50)

2)     Tires in Warehouse checked (380/380)

3)     Shipping Inspection checked (400/400)

4)     CTR checked (2CTR checked 720/720)

5)     Hired 3rd Party to inspect on RDC & Tesla In-line to check.",Communication problem. Sorting OP did not feedback to the M/C op. There was not marking tape check. This shipment was allowed to shipping without inspection.,UF machine improve implemented due to code change error during machinery inspection.,"There was code change error, the marking was set based on the previous tire code.",The machine stops when the code change. M/C op have to check the marking after the home position.,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=197213314aed936777d2a98aed861774
QI-2025-00081,TP,Mass Production,Honda,Passport,3BMA,2025-05-27,2025-05-28,Y,2025-05-27,2025-05-30,Y,2025-06-02,Complete,In-Line(OE),North America,1031257,In-Line,Wheel Assembly,Air Leak ,Tire had a slow air leak (pin hole) which caused a flat tire at the assembly line.,"Tracking for the barcodes provided indicates it is not a lot issue.
QA notified inspectors to be mindful of AUS issues to prevent further issue occurrence.",Pin hole caused by AUS. AUS caused by carcass cutting knives at building process.,Pin hole formed due to AUS from building process.,AUS caused by cutting knives at building process.,Replaced knives,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=197137dfd7b7b5838ccc986f94fc9d47
QI-2025-00079,TP,Mass Production,KMC,EV9,MVA,2025-05-20,2025-05-21,N,null,2025-05-29,Y,2025-05-30,Complete,In-Line(OE),North America,1033483,In-Line,Marking,"UNM
(Uniformity No marking)",Glovis received a shipment of 3 tires without the red dot marking,"requested the barcode to analyize the inspection history
Also, will sort the tires at the warehouse to share the clean point","Red dot tape at machine was changed, but not applied back onto tire once machine was back in operation due to operatior error","Red dot tape at machine was changed, but not applied back onto tire once machine was back in operation due to operatior error",not applied back onto tire once machine was back in operation due to operatior error,"train operators to ensure that once red dot tape is changed, 200% inspection",https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=196ef8a91e7d2e33ce93c2c2faa6ef50
QI-2025-00080,MP,Mass Production,VW,Kodiaq,SK336/1,2025-05-21,2025-05-21,Y,2025-06-11,2025-06-18,Y,2025-06-20,Complete,In-Line(OE),Europe,1032201,Manufacturing,Defect,Bulge,Skoda claimed 1 EA bulge tire.,Production and quality history. Detailed analyzis after getting back tire.,"Remain rubber at the edge of Textile calander roll. (Side Trimming) 
Calander opertor inform the TRC operator by the barcode but not tear the all of part and it caused Bulge.",Short and longterm actions are implemented necessary material are prepared. ,Change the 3 finger rolls to keep the proper tension and width.,FTT order it and going to change about 26/3,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=196f2b95e25be83643c219309ce10415
QI-2025-00080,MP,Mass Production,VW,Kodiaq,SK336/1,2025-05-21,2025-05-21,Y,2025-06-11,2025-06-18,Y,2025-06-20,Complete,In-Line(OE),Europe,1032201,Manufacturing,Defect,Bulge,Skoda claimed 1 EA bulge tire.,Production and quality history. Detailed analyzis after getting back tire.,"Remain rubber at the edge of Textile calander roll. (Side Trimming) 
Calander opertor inform the TRC operator by the barcode but not tear the all of part and it caused Bulge.",Short and longterm actions are implemented necessary material are prepared. ,The Side trimming console not fluently follow the edge changed of the Roll (During the production) and remain rubber at the edge part.,Apply some fine tuning but this is not final solution. The results is better.,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=196f2b95e25be83643c219309ce10415
QI-2025-00080,MP,Mass Production,VW,Kodiaq,SK336/1,2025-05-21,2025-05-21,Y,2025-06-11,2025-06-18,Y,2025-06-20,Complete,In-Line(OE),Europe,1032201,Manufacturing,Defect,Bulge,Skoda claimed 1 EA bulge tire.,Production and quality history. Detailed analyzis after getting back tire.,"Remain rubber at the edge of Textile calander roll. (Side Trimming) 
Calander opertor inform the TRC operator by the barcode but not tear the all of part and it caused Bulge.",Short and longterm actions are implemented necessary material are prepared. ,TRC operator didn't tear all of rubber at the edge.,Educate them,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=196f2b95e25be83643c219309ce10415
QI-2025-00078,MP,Mass Production,Porsche,Cayenne,PO536 PA,2025-05-20,2025-05-20,Y,2025-05-20,2025-08-18,Y,2025-08-18,Complete,Test,Europe,1027583,Performance,Wear,Irregular,"1027583 & 1027584 Porsche tire issued with Wear at 22,500 km Target 50,000.",Review,Steel Belt ( B/T ) off-center caused ( B/T package stucked on the C/C package during TRF transfer). Counteractions : 1) Assigned building machine- 2) Cony tolerance adjustment. 3) X-Ray inspection (100%),Porsche field claim root cause identified on the manufacturing process. Action for root cause done and for prevention implemented in the production line.,Belt package off-center,1.) Nominated M/C. 2.) Cony Tol. Set. 3.) X-Ray inspection,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=196ecefecab2bb9cc32668319ce1b415
QI-2025-00077,MP,Mass Production,VW,T-Roc,VW276,2025-05-16,2025-05-16,N,null,2025-05-28,Y,2025-05-29,Complete,Non-official(In-line),Europe,1029035,Logistic,Contamination,Dirty Tire,Conti ( Palmela ) Issued again dirty tires.,Tracking history and start sorting by 3rd party Company.,"- Dirty tires
- Lack of preventive foil (mandatory usage)
- Lack of cleaning","Foil not used so education completed, standard revision prepared and master sample picture attachment about OK - NOK ( clean - dirty ) tires onto gates.",Dirty tires,Lack of cleaning /Trailer mandatory cleaning by the company before takeover,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=196d922734689840352f97c3d181c564
QI-2025-00077,MP,Mass Production,VW,T-Roc,VW276,2025-05-16,2025-05-16,N,null,2025-05-28,Y,2025-05-29,Complete,Non-official(In-line),Europe,1029035,Logistic,Contamination,Dirty Tire,Conti ( Palmela ) Issued again dirty tires.,Tracking history and start sorting by 3rd party Company.,"- Dirty tires
- Lack of preventive foil (mandatory usage)
- Lack of cleaning","Foil not used so education completed, standard revision prepared and master sample picture attachment about OK - NOK ( clean - dirty ) tires onto gates.",Lack of preventive foil,Education of using the mandatory foil,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=196d922734689840352f97c3d181c564
QI-2025-00076,JP,Development,FAW Audi,B10,B10,2024-09-01,2025-05-14,N,null,2025-05-15,null,null,On-going,Test,ASIA(China),1033635,Performance,R&H,Dry handling," Same LOT Tire Performance Deviations Occurred (B3B)

* Same LOT Tire proceeded confirm test(New Tire)
 * During the evaluation of the B10 and A6L vehicles,
   differences in Grip and Rear Stability performance
   were observed
 * When re-evaluated with the previous tires, no issues
   were found.
","Visual Inspection / Rear Tire Foot Shape / Cornering Stiffness - Front
","The differences in the foot shape characteristics and shape of the RL tire are more pronounced compared to other locations.
",null,PCI cycle,This led to changes in Foot shape.,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=196cc0f58a79b7e7e9dc9018b75fd61e
QI-2025-00075,IP,Mass Production,Toyota,Bezza,D42L,2025-04-28,2025-05-13,Y,2025-05-13,2025-05-18,N,2025-05-19,Complete,In-Line(OE),ASIA(South East),1024667,In-Line,Wheel Assembly,Air Leak ,air leakage at Sidewall Area ,Sample NG tire has been analyzed by QC team.,"Base on tracking data from process Building until UF, there's not found any abnormal condition, analysis by X-ray not found any foreign material also not found any repair history that can cause such damage
Suspect defect from external causes","After internal check and analysis, air leakage of the tire not caused by internal production process.
because there is not found suspect abnormality in the process.  
Further investigation is needed during the shipment process.",GT transfer from GHC until Curing process is auto mode,No issue,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=196c915ea9fa8cffc9e615f53d331c9b
QI-2025-00075,IP,Mass Production,Toyota,Bezza,D42L,2025-04-28,2025-05-13,Y,2025-05-13,2025-05-18,N,2025-05-19,Complete,In-Line(OE),ASIA(South East),1024667,In-Line,Wheel Assembly,Air Leak ,air leakage at Sidewall Area ,Sample NG tire has been analyzed by QC team.,"Base on tracking data from process Building until UF, there's not found any abnormal condition, analysis by X-ray not found any foreign material also not found any repair history that can cause such damage
Suspect defect from external causes","After internal check and analysis, air leakage of the tire not caused by internal production process.
because there is not found suspect abnormality in the process.  
Further investigation is needed during the shipment process.","Production process Building normal, not found abnormal condition",No issue,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=196c915ea9fa8cffc9e615f53d331c9b
QI-2025-00075,IP,Mass Production,Toyota,Bezza,D42L,2025-04-28,2025-05-13,Y,2025-05-13,2025-05-18,N,2025-05-19,Complete,In-Line(OE),ASIA(South East),1024667,In-Line,Wheel Assembly,Air Leak ,air leakage at Sidewall Area ,Sample NG tire has been analyzed by QC team.,"Base on tracking data from process Building until UF, there's not found any abnormal condition, analysis by X-ray not found any foreign material also not found any repair history that can cause such damage
Suspect defect from external causes","After internal check and analysis, air leakage of the tire not caused by internal production process.
because there is not found suspect abnormality in the process.  
Further investigation is needed during the shipment process.",X-Ray check not found any foreign material inside tire,No issue,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=196c915ea9fa8cffc9e615f53d331c9b
QI-2025-00074,KP,Mass Production,GM,Trax,9BQX,2025-05-07,2025-05-07,Y,2025-05-07,2025-07-15,Y,2025-07-15,Complete,Non-official(In-line),ASIA(Korea),1026754,Manufacturing,Defect,"Tread color line
(MTM, etc)","1. 등록 일자 : 5월7일(수) 
    ※ 최초 발생은 5월2일(금) , 실물 확인후 최종 외관부적합 유출 확인돠어(5월7일 등록)
2. 발생 규격 : 225/60R17H  RA33 (올시즌)
3. 발생 장소 : 한양정밀 조립장(타이어&휠 조립)
4. 발생 현상 : 트래드 색선 토출시 토출량 불규칙에의한 발생 추정
5. 발생 수량 : 1ea( DOT  1525)  
                         입고검사인 : 양승훈5 , 출하검사인 : 조영훈2","6.조치사항
 1)5월2일 입고수량(224ea) 전수 재검사 동일 현상 발생 없음
 2)발생시점(5월2일) 금산QA팀 , 금산품질관리팀 공유 완료
 3)5월7일 재방문 입고 수량 품도 확인 : 외관상태 양호
7.요청사항(한양정밀)
 1)외관부적합 입고되어 재발방지 품질 확보 방안 제출 요청하였습니다.",235/60R17H RA33G tread 색선 PAINT번짐,"1. 등록 일자 : 5월7일(수) 
    ※ 최초 발생은 5월2일(금) , 실물 확인후 최종 외관부적합 유출 확인돠어(5월7일 등록)
2. 발생 규격 : 225/60R17H  RA33 (올시즌)
3. 발생 장소 : 한양정밀 조립장(타이어&휠 조립)
4. 발생 현상 : 트래드 색선 토출시 토출량 불규칙에의한 발생 추정
5. 발생 수량 : 1ea( DOT  1525)  
                         입고검사인 : 양승훈5 , 출하검사인 : 조영훈2
6.조치사항
 1)5월2일 입고수량(224ea) 전수 재검사 동일 현상 발생 없음
 2)발생시점(5월2일) 금산QA팀 , 금산품질관리팀 공유 완료
 3)5월7일 재방문 입고 수량 품도 확인 : 외관상태 양호
7.요청사항(한양정밀)
 1)외관부적합 입고되어 재발방지 품질 확보 방안 제출 요청하였습니다.
8.기타-금산공장  품질관리팀/금산QA팀
  1)압출 ROLL 주기적 청소(세척) : 1개월/1회
  2)금산QA 검사원 교육 실시 - 외관오염 검출",- 압출 : 대차 6번쨰중 4번째 대차로 규격교채이외에는 특이한 불가동 사유가 없어 설비이상 원인은 아닌걸로 보임,1) KP)품질관리팀      - ROLL 주기적 세척 및 총 청소 2) 금산QA팀     - 검사 시 트레드부 확인에 대한 교육 시행,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=196a994c3c0055951d8707033981af47
QI-2025-00072,JP,Mass Production,Leapmotor,C11,C11,2025-05-05,2025-05-05,Y,2025-05-05,2025-05-13,Y,2025-06-04,Complete,Filed,ASIA(China),1035082,Manufacturing,Defect,FM,"接技术服务T反馈,零跑售后投诉胎侧凹坑,邀请返回分析  Receiving feedback from technical service T, zero-run after-sales complaints about tire side pits, inviting you to return for analysis.",返回分析 Return to analysis,G/T着地或硫化下模具污染导致，硫化G/T投入前异物检查，设备停机再稼动模具清扫、卫生确认.,"零跑售后投诉胎侧凹坑,分析为 G/T着地或硫化下模具污染导致，硫化G/T投入前异物检查，设备停机再稼动模具清扫、卫生确认.",G/T搬运防止掉落到地上,超装载量搬运禁止.,https://egqms.hankooktech.com/OE_Quality_Issue/OE_QualityIssue_Popup.html?callid=filter&cqmsQualityIssueSeq=1969f38768b079d8d3446d30c3528a14
